#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
635,,06-16 07:03,151.8,국제,20,,3,,,이란 “오늘 밤부터 여러 전선 전쟁 즉각적 영구 중단”
636,,06-16 06:48,152.0,국제,19,,3,Y,,[속보]트럼프 “이란과 협상 타결” 호르무즈 봉쇄 해제 승인···양측 “19일 스위스서 서명”
637,,06-16 06:48,152.0,정치,7,,1,,,유시민 “노무현재단 떠나겠다… 상임고문 해촉요청”
638,,06-16 06:32,152.3,국제,21,,2,,,"이란 외무부, 이스라엘 레바논 공격에 “휴전 위반… 美에도 책임 있어”"
639,,06-16 06:32,152.3,,8,,3,,,인천 서구 공장서 화재…대응 2단계 발령
640,,06-16 06:17,152.5,국제,21,,2,,,"트럼프, 이스라엘의 레바논 공습에 “일어나지 말았어야 할 공격에 서명 지연”"
641,,06-16 06:17,152.5,경제,7,,0,,,"코인원, 내달 6일까지 프로덕트 직군 채용…법제화 대응"
642,,06-16 06:03,152.8,국제,20,,2,,,막판까지 종전 발목 잡는 이스라엘... 트럼프 “그만해” 이란 “못믿어”
643,,06-16 05:48,153.0,경제,19,,0,,,"산업부, 화학산업포럼 출범…생태계 경쟁력 강화 논의"
644,,06-16 04:48,154.0,사회,6,,2,,,붕대 감긴 채 인천 재활용센터서 발견된 인체 일부···국과수 “성인 추정”
645,,06-16 04:48,154.0,경제,6,,0,,,"DL이앤씨, 5500억 규모 '동제주 복합발전소' 단독 수주"
646,,06-16 04:33,154.3,,21,,2,,,"이 대통령 “6·15공동선언, 역사적 전환점”"
647,,06-16 03:47,155.0,정치,20,,2,,,"‘투표용지 부족’ 합수본, 중앙선관위 서버 확보"
648,,06-16 02:48,156.0,,20,,2,,,“개표소 봉쇄가 순수한 2030 시위?” 대학생들 “언론이 혼란 키웠다”
649,,06-16 02:33,156.3,국제,21,,2,,,"트럼프, 이스라엘의 레바논 공습에 “빌어먹을 공격으로 서명 몇 시간 지연”"
650,,06-16 01:33,157.3,경제,20,,2,,,"美 국방장관 ""이란 핵무기 보유 절대 불가""…핵물질 제거·핵프로그램 해체"
651,,06-16 01:18,157.5,국제,21,,2,,,"美국방 “이란, 합의 어기면 다시 전쟁 직면…농축우라늄 제거 관여”"
652,,06-16 01:03,157.8,정치,21,,2,,,"정청래 지도부, 김민석 겨냥?…""선거 평가에 정부 행보도 포함"""
653,,06-16 01:03,157.8,정치,9,,2,,,盧사위 곽상언 “유시민 홍보에 노무현재단 동원 정상인가”
654,,06-16 00:47,158.0,사회,21,,0,,,소나기·우박 내리더니… 오늘은 30도 무더위
655,,06-16 00:33,158.3,경제,21,,2,,,"‘AI 과학자’ 난제 풀 총괄 책임자 사의… K-문샷, 검증 논란에 출발부터 삐걱"
656,,06-16 00:33,158.3,경제,6,,0,,,"글로벌 인기 폭발 'K-김' 확보 경쟁 뜨겁다…식품업계, 육상 양식 속도"
657,,06-16 00:18,158.5,정치,21,,2,,,"與 지도부, '정청래 사퇴론'에…""연임 도전 시 사퇴규정 없다"""
658,,06-15 23:59,158.8,국제,21,,2,Y,,"[속보] 트럼프, 레바논 공격 이스라엘 비난… “일어나지 말았어야”"
659,,06-15 23:59,158.8,사회,11,,2,Y,,[속보]최태원·노소영 재산분할 조정 출석…최 “조정 잘 성립되길”
660,,06-15 22:44,160.1,국제,21,,2,,,"이스라엘, 베이루트 헤즈볼라 목표물 공습… 美·이란 종전 논의 속 긴장 고조(종합)"
661,,06-15 22:44,160.1,경제,15,,2,,,"JTBC-중앙그룹 지주사, 기업회생 신청"
662,,06-15 22:44,160.1,국제,10,,1,,,"스위스, '인구 1000만명 제한' 국민투표 부결"
663,,06-15 22:44,160.1,경제,10,,2,,,"노동계, 내년 최저임금 1만2000원 요구…올해比 16.3%↑"
664,,06-15 22:44,160.1,정치,9,,2,,,"盧사위 곽상언, 유시민 직격… “노무현재단이 퇴임한 이사장의 홍보업체인가”"
665,,06-15 22:44,160.1,,6,,0,,,"무안군의원 최연소 출마한 오신행, 일본 아이돌로 데뷔"
