#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
123,,06-20 11:32,51.3,국제,14,5,3,,,"종전 서명 하루 만에…이스라엘, 레바논 남부 나바티에 공습, 최소 16명 사망"
124,,06-20 11:17,51.5,국제,16,1,2,,,"이란 공격 받았던 걸프국들, MOU에 관련 언급 없자 ‘실망’"
125,,06-20 11:03,51.8,국제,16,1,2,,,"이스라엘인 71% ""트럼프 MOU 이스라엘 안보에 도움 안 돼 """
126,,06-20 10:47,52.0,국제,15,1,2,,,"밴스 부통령, 스위스행 연기… 이란과 후속협상 개시 지연"
127,,06-20 10:32,52.3,국제,16,1,2,,,"밴스 부통령, 스위스행 연기… 이란과 후속협상 개시 지연"
128,,06-20 10:17,52.5,국제,15,1,2,,,"밴스 부통령, 스위스행 연기… 이란과 후속협상 개시 지연"
129,,06-20 09:47,53.0,사회,6,6,1,,,김포 포구서 조업하던 70대 실종…소방은 이틀째 수색중
130,,06-20 08:32,54.3,국제,15,1,2,,,"미·이란, 종전협상 개문발차···밴스, 이스라엘에 “정신 차려”"
131,,06-20 07:48,55.0,국제,15,4,1,,,‘무조건 항복’ 접은 트럼프 “내 권력엔 한계 없다···대공황 막으려 협상”
132,,06-20 06:47,56.0,국제,15,4,2,,,60일 뒤 호르무즈 통항료 내면… 한국에 年 1조원 폭탄 날아든다
133,,06-20 06:17,56.5,국제,15,2,1,,,밴스 “이스라엘 정신 차려라…지금 트럼프만이 당신들에 우호적”
134,,06-20 06:17,56.5,정치,11,3,1,,,"정청래, 이재명 대통령 유럽 순방 극찬… ""국격 보여준 李에 경의 표해"" [뉴시스Pic]"
135,,06-20 04:47,58.0,국제,12,3,2,,,이란 “호르무즈 해협 통행료 60일간 면제… 사전 요청해야”
136,,06-20 04:32,58.3,국제,13,1,2,,,"美·이란, 종전 MOU 이행 착수… “60일 협상 기간 오늘부터 시작”"
137,,06-20 03:47,59.0,경제,14,1,2,,,이란 “호르무즈 해협 통행료 60일간 면제”
138,,06-20 02:17,60.5,국제,5,19,2,,,What lessons will Iran’s new leadership draw from the 110-day war?
139,,06-20 02:03,60.8,정치,14,2,2,Y,,"[속보] 18일 상업용 선박 25척, 호르무즈 통과…“이란 봉쇄 이후 최다”"
140,,06-20 01:47,61.0,정치,11,3,2,,,"돌아온 이 대통령, 집 나간 국정동력 찾는다···순방 성과 직접 설명, 지지율 회복 시동"
141,,06-20 01:03,61.8,국제,14,3,2,,,美부통령 “오늘부터 이란과 60일 후속 협상 시작…행동 바꿔야 경제적 보상”
142,,06-19 23:47,63.0,국제,13,3,2,,,"종전 합의도 안 먹힌다… 이스라엘, 연일 레바논 공격"
143,,06-19 22:03,64.8,국제,16,4,1,,,"李 “G7 만찬서 트럼프와 깊은 얘기, 부부 골프 약속도”"
144,,06-19 21:32,65.3,,17,1,1,,,"정청래, 이재명 대통령 유럽 순방 극찬… ""국격 보여준 李에 경의 표해"" [뉴시스Pic]"
145,,06-19 21:32,65.3,국제,14,9,0,,,"뉴욕증시, 미국 ·이란 종전 MOU 서명 소식에 상승 출발"
146,,06-19 21:02,65.8,국제,12,4,1,,,"이란 갈리바프, ""레드 라인 존중해야 미국과 대화"""
147,,06-19 20:33,66.3,국제,12,1,2,,,이란 “60일간 호르무즈 통항료 면제…해협청에 사전 요청해야”
148,,06-19 20:03,66.8,국제,14,2,0,,,"뉴욕증시, 미국 ·이란 종전 MOU 서명 소식에 상승 출발"
149,,06-19 18:32,68.3,국제,14,3,1,,,종전 MOU 공개 뒤 ‘트럼프 완패’ 비판 커지자···트럼프 “질투에 눈먼 바보들”
150,,06-19 17:47,69.0,정치,17,4,1,,,"정청래·김민석, 이 대통령 나란히 마중…당·청 ‘갈등 봉합’ 노력"
151,,06-19 17:03,69.8,,13,4,3,,,미-이란 양해각서 발효...레바논 전쟁 종식·457조 재건기금 등 포함
152,,06-19 16:47,70.0,국제,14,1,0,,,"뉴욕증시, 미국 ·이란 종전 MOU 서명 소식에 상승 출발"
153,,06-19 16:18,70.5,,13,2,0,,,"뉴욕증시, 미국 ·이란 종전 MOU 서명 소식에 상승 출발"
154,,06-19 15:47,71.0,경제,12,5,0,,,美 반도체 훈풍에 코스피 장중 사상 첫 9300선 돌파
155,,06-19 15:47,71.0,경제,6,3,0,Y,,[속보]美반도체 랠리에 코스피 9200선도 돌파…2.48% 오른 9288.89 출발
156,,06-19 15:33,71.3,정치,15,4,1,,,‘정청래 90도 인사’에…이건태 “李가 정색하고 싫어하는 의전”
157,,06-19 15:33,71.3,정치,14,15,2,,,‘부산 북갑 낙선’ 하정우 청와대 복귀설에···국힘 “국민 우습게 아는 회전문 인사” 맹공
158,,06-19 15:33,71.3,국제,14,2,2,,,스위스 “美·이란 뷔르겐슈토크 회담 취소됐다” 공식 확인
159,,06-19 15:33,71.3,경제,13,1,0,,,"달러 대비 원화 환율, 10.3원 오른 1537.4원에 출발"
160,,06-19 15:33,71.3,정치,7,3,2,Y,,[속보] 李대통령 “민주당 안에서 원수 싸우듯 해…경쟁이 전쟁되면 안돼”
161,,06-19 15:17,71.5,정치,15,1,1,,,"민주 ""이 대통령 순방 실용외교 성과…입법·예산으로 뒷받침"""
162,,06-19 15:17,71.5,경제,13,1,0,,,"코스피 9063.84(▲2.25%), 코스닥 1000.93(▼3.01%), 원·달러 환율 1527.1원(▲13.7원) 마감[시황]"
163,,06-19 15:17,71.5,정치,6,2,2,Y,,"[속보] 李대통령 ""선관위 원포인트 개헌이라도 해야…필요시 대통령 발의"""
164,,06-19 15:17,71.5,정치,5,1,1,Y,,"[속보] 李대통령 “당청 관계, 격려·지적 할 수 있어…더 잘 되기 위한 과정”"
165,,06-19 15:02,71.8,정치,15,1,1,,,정청래 ‘90도 인사’… 굳은 표정 李 “수고했습니다”
166,,06-19 15:02,71.8,,7,2,3,,Y,‘정보사 명단 누설’ 김용현 1심 징역 3년…“계엄 선포 동력 중 하나”
167,,06-19 14:33,72.3,경제,7,3,2,,,李대통령 “교황에 방한·방북 요청…‘적극 고려하겠다’ 답 들어”
168,,06-19 14:33,72.3,국제,5,19,2,,,영국 동물원서 3세 남아 악어 우리에 던져져 중상… 30대 남성 체포
